Project_Id,Country,StateName,CityName,ProjectTypes,CertLevel,PointsAchieved,FloorArea,EnergySaving,CO2Avoided,CertDate
1000193218,IN,HAR,GUR,"Office: Mixed-Use",Platinum,88,77773.65,4083117,2899013,"2024-11-02 00:00:00"
1000193224,ES,MAD,MAD,"Office: Administrative/Professional",Gold,68,9024,338400,77832,"2025-06-13 00:00:00"
1000193340,BR,SP,SP,"Office: Mixed-Use",Platinum,83,10139.14,532305,69200,"2024-10-04 00:00:00"
1000193457,US,CA,SF,"Office: Mixed-Use",Silver,55,13328.98,299902,131957,"2024-06-26 00:00:00"
1000193879,ES,MAD,MAD,"Office: Administrative/Professional",Gold,71,4307,161512,37148,"2025-01-31 00:00:00"
1000193950,US,CO,DEN,"Office: Mixed-Use",Gold,76,15052.05,564452,248359,"2024-05-28 00:00:00"
1000194159,ES,MAD,MAD,"Office: Mixed-Use",Platinum,81,4338,227745,52381,"2025-06-18 00:00:00"
1000194356,IN,MAH,MUM,"Office: Administrative/Professional",Platinum,83,34518.29,1812210,1286669,"2024-11-20 00:00:00"
1000194697,IT,MI,MIL,"Lodging: Hotel/Motel/Resort, Full Service",Gold,66,5494,446388,111597,"2024-09-20 00:00:00"
1000194825,CN,SHA,SHA,"Office: Other Office",Silver,53,2587,58208,32596,"2024-11-17 00:00:00"
1000194993,ES,GRA,GRA,"Lodging: Dormitory",Platinum,81,4462,507552,116737,"2025-06-16 00:00:00"
1000194994,ES,BCN,LDL,"Lodging: Dormitory",Platinum,83,2735,311106,71554,"2025-05-22 00:00:00"
1000194995,ES,BCN,LDL,"Lodging: Dormitory",Platinum,81,3207,364796,83903,"2025-05-22 00:00:00"
1000195002,ES,MAD,MAD,"Lodging: Dormitory",Platinum,83,2029,230799,53084,"2025-06-13 00:00:00"
1000195008,ES,MAD,MAD,"Lodging: Dormitory",Platinum,85,1330,151288,34796,"2025-05-30 00:00:00"
1000195082,US,MA,NEW,"Office: Mixed-Use",Gold,60,3812.09,142953,62899,"2024-10-11 00:00:00"
1000195464,US,VA,FAI,"Office: Medical (Non-Diagnostic)",Gold,61,4366.26,764096,336202,"2024-09-11 00:00:00"
1000195469,US,PA,PIT,"Office: Medical (Non-Diagnostic)",Gold,60,7059.23,1235365,543561,"2024-09-09 00:00:00"
1000195485,US,NC,CHA,"Office: Mixed-Use",Gold,61,14018.32,525687,231302,"2024-09-11 00:00:00"
1000195488,US,NC,CHA,"Office: Mixed-Use",Gold,62,12369.76,463866,204101,"2024-09-11 00:00:00"
1000195494,US,CA,SD,"Office: Mixed-Use",Silver,50,8656.42,194769,85699,"2024-10-10 00:00:00"
1000195499,US,MA,CHE,"Office: Mixed-Use",Silver,52,9108.95,204951,90179,"2024-10-11 00:00:00"
1000195501,US,DC,WAS,"Office: Government",Silver,52,15369.78,345820,152161,"2024-10-16 00:00:00"
1000195503,US,VA,NOR,"Office: Mixed-Use",Silver,55,12658.22,284810,125316,"2024-10-16 00:00:00"
1000195505,US,CA,SJ,"Office: Mixed-Use",Silver,50,5349.91,120373,52964,"2024-10-11 00:00:00"
1000195646,IN,KAR,BEN,"Office: Administrative/Professional",Gold,66,11743.22,440371,312663,"2025-04-23 00:00:00"
1000195653,IN,KAR,BEN,"Office: Administrative/Professional",Gold,68,7247,271762,192951,"2025-04-24 00:00:00"
